BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2573	2573	2573	0	0	0
Contact period end (sample #):	5587	5587	5587	3448	3448	3448
Contact period start time (s):	2.573000	2.573000	2.573000	0.000000	0.000000	0.000000
Contact period end time (s):	5.587000	5.587000	5.587000	3.448000	3.448000	3.448000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:27:31
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	-0.049423	-0.142751	-0.569547	-8.005826	-7.133245	655.697510
0.001000	-0.087570	0.009837	-0.092633	-8.120266	-7.133245	656.971599
0.002000	-0.011276	0.200571	0.851991	-8.082119	-7.247685	657.263364
0.003000	0.065018	-0.028310	0.687183	-7.967679	-7.209538	657.905747
0.004000	-0.049423	0.047984	0.379558	-7.738797	-7.247685	656.801647
0.005000	-0.087570	-0.104604	0.708527	-7.548062	-7.247685	657.262714
0.006000	0.065018	0.047984	-0.728492	-7.776944	-7.362126	657.579609
0.007000	0.026871	-0.028310	-0.092094	-7.509915	-7.209538	657.897984
0.008000	-0.011276	-0.104604	-0.099533	-7.319180	-7.056951	658.372842
0.009000	-0.049423	0.047984	-0.247597	-7.433621	-7.247685	658.680198
0.010000	-0.049423	0.162425	-0.888565	-7.242886	-7.056951	657.578000
0.011000	-0.049423	-0.066457	0.535557	-7.166592	-7.133245	658.048961
0.012000	0.026871	-0.142751	1.328332	-7.014004	-7.095098	657.897349
0.013000	0.141312	-0.028310	0.382158	-7.166592	-7.018804	658.517029
0.014000	0.141312	0.009837	1.167297	-6.670681	-6.980657	658.361323
0.015000	0.103165	0.009837	0.074202	-6.556241	-6.980657	657.419068
0.016000	-0.049423	-0.104604	-0.415455	-6.708828	-7.095098	658.207272
0.017000	0.141312	0.124278	0.373861	-6.746975	-6.828069	656.157118
0.018000	0.026871	0.009837	-1.037410	-6.479947	-6.828069	657.735479
0.019000	-0.087570	0.124278	0.228909	-6.403653	-6.561040	658.518026
0.020000	0.065018	0.086131	-1.517974	-6.212918	-6.904363	658.516552
0.021000	-0.049423	0.047984	0.229540	-5.984036	-7.018804	657.885483
0.022000	-0.011276	-0.028310	0.693722	-5.984036	-6.599187	657.093095
0.023000	-0.163864	-0.219045	0.223663	-5.717007	-6.599187	658.348657
0.024000	0.255753	0.124278	0.225182	-5.717007	-6.904363	658.039579
0.025000	-0.125717	0.276865	0.384247	-5.755154	-6.675481	659.450038
0.026000	0.103165	0.162425	0.851495	-5.793301	-6.484746	658.663178
0.027000	0.103165	0.124278	0.539646	-5.488125	-6.446599	658.031965
0.028000	-0.163864	0.238718	0.850187	-5.335537	-6.522893	658.337622
0.029000	-0.049423	0.200572	0.062463	-5.068509	-6.522893	659.128627
0.030000	-0.049423	0.162425	1.174917	-5.068509	-6.408452	656.920999
0.031000	-0.049423	0.009837	0.688191	-4.839627	-6.484746	659.116609
0.032000	0.065018	0.200572	0.701688	-4.839627	-6.294011	658.502790
0.033000	-0.087570	-0.104604	1.644750	-4.725186	-6.370305	657.396016
0.034000	0.179459	0.162425	1.327205	-4.648892	-6.599187	657.553715
0.035000	0.255753	-0.104604	0.530372	-4.610745	-6.446599	657.867339
0.036000	-0.011276	0.047984	0.377754	-4.534451	-6.408452	657.706120
0.037000	0.026871	-0.028310	-0.107680	-4.572598	-6.522893	657.222463
0.038000	-0.011276	0.124278	0.690445	-4.458157	-6.484746	656.438988
0.039000	0.103165	0.009837	0.217500	-4.687039	-6.522893	659.429938
