BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2749	2749	2749	0	0	0
Contact period end (sample #):	4741	4741	4741	3520	3520	3520
Contact period start time (s):	2.749000	2.749000	2.749000	0.000000	0.000000	0.000000
Contact period end time (s):	4.741000	4.741000	4.741000	3.520000	3.520000	3.520000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:27:10
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	0.268468	0.248315	2.253630	-3.313989	-3.266964	658.685249
0.001000	0.192174	0.172021	1.462163	-3.161401	-3.228817	658.522074
0.002000	0.077734	0.439050	0.828365	-2.932519	-3.457699	658.842238
0.003000	0.192174	0.057580	1.937723	-2.818078	-3.724728	658.527148
0.004000	0.306615	0.133874	2.411268	-3.085107	-3.877316	658.366247
0.005000	-0.074854	0.133874	1.468898	-2.818078	-3.953610	657.743183
0.006000	0.306615	0.210168	1.782174	-2.474755	-4.220638	656.633832
0.007000	0.154027	0.286462	1.152119	-2.512902	-4.144344	657.592386
0.008000	0.192174	0.362756	1.150676	-2.360314	-4.525814	657.738983
0.009000	0.230321	0.210168	2.575595	-2.093285	-4.754696	656.944111
0.010000	0.154027	0.286462	1.612031	-2.093285	-4.640255	656.797696
0.011000	0.154027	0.095727	2.087756	-1.597375	-4.792843	656.783420
0.012000	0.154027	0.400903	2.258034	-1.635522	-4.678402	657.726837
0.013000	0.230321	0.210168	2.724155	-1.254052	-4.754696	655.531392
0.014000	0.230321	0.210168	2.256638	-0.719994	-4.487667	656.926270
0.015000	0.230321	0.324609	1.627002	-0.872582	-4.754696	655.359471
0.016000	0.115880	0.477197	2.571252	-0.491112	-4.258785	657.091553
0.017000	0.192174	0.248315	1.777816	-0.414819	-4.449520	655.516808
0.018000	0.192174	0.324609	1.624567	-0.643700	-4.373226	656.925145
0.019000	0.382909	0.400903	1.939362	-0.719994	-4.411373	655.030349
0.020000	0.077733	0.172021	1.301986	-0.529259	-4.373226	655.992301
0.021000	0.077734	0.362756	1.468733	-0.681847	-4.449520	655.986440
0.022000	-0.189296	-0.018713	1.777485	-0.605553	-4.296932	655.503100
0.023000	0.192174	0.248315	1.772269	-1.101464	-4.411373	654.411628
0.024000	0.306615	0.133874	1.787602	-0.872582	-4.449520	654.099945
0.025000	0.497350	0.210168	1.460436	-0.987023	-4.068050	653.780097
0.026000	0.115880	0.057580	1.312734	-1.254052	-3.915462	653.938061
0.027000	0.268468	0.210168	1.771142	-1.406640	-4.335079	653.633539
0.028000	0.077734	0.210168	1.940654	-1.215905	-3.877315	653.312210
0.029000	0.268468	0.286462	2.097015	-1.330346	-4.144344	654.254480
0.030000	0.306615	0.210168	1.453701	-1.139611	-3.648434	653.314318
0.031000	0.077734	0.286462	1.780732	-1.406640	-3.953609	653.470326
0.032000	0.382909	0.286462	3.357472	-1.025170	-3.877315	652.053047
0.033000	0.306615	0.172021	1.460359	-1.406640	-3.877315	653.634512
0.034000	0.115880	0.286462	0.362141	-1.063317	-3.991756	652.520586
0.035000	0.421056	0.324609	3.515606	-1.025170	-4.258785	652.689290
0.036000	0.421056	0.133874	1.469514	-1.292199	-4.068050	652.523026
0.037000	0.230321	-0.018713	1.154404	-1.292199	-4.220638	654.267992
0.038000	0.192174	0.248315	1.467094	-1.025170	-3.877315	652.687001
0.039000	0.001439	0.210168	3.202750	-1.139611	-4.411373	652.055638
0.040000	0.344762	0.324609	2.411629	-1.063317	-4.373226	652.529521
0.041000	0.192174	0.324609	0.995685	-1.444787	-4.640255	651.907114
