BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2546	2546	2546	0	0	0
Contact period end (sample #):	3870	3870	3870	2585	2585	2585
Contact period start time (s):	2.546000	2.546000	2.546000	0.000000	0.000000	0.000000
Contact period end time (s):	3.870000	3.870000	3.870000	2.585000	2.585000	2.585000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:08:09
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	0.157387	-0.009596	1.597644	-8.280053	-10.215232	659.493302
0.001000	0.081093	0.028551	1.283210	-8.318200	-10.329673	657.912498
0.002000	0.081093	0.181139	1.435648	-8.356347	-10.291526	658.230701
0.003000	0.042946	0.219285	1.596863	-8.508935	-10.100791	660.751657
0.004000	0.157387	0.181139	1.910696	-8.623376	-10.482261	661.228974
0.005000	0.004799	-0.009596	1.906442	-8.470788	-10.444114	660.602766
0.006000	0.348121	0.295579	2.074827	-8.814111	-10.444114	661.703833
0.007000	0.119240	0.142992	2.070919	-8.928552	-10.329673	661.071000
0.008000	0.195534	0.181139	2.697563	-8.623376	-10.596702	662.340255
0.009000	0.119240	0.066698	2.067973	-8.966699	-10.482261	662.182928
0.010000	0.157387	0.066698	1.278114	-8.928552	-10.520408	662.020103
0.011000	0.309974	0.066698	1.904638	-8.890405	-10.520408	662.507270
0.012000	0.348121	0.142992	1.604710	-8.852258	-10.482261	662.811382
0.013000	0.119240	0.066698	1.601102	-8.928552	-10.672996	663.285574
0.014000	0.233680	0.181139	0.488001	-9.042993	-10.787437	663.603468
0.015000	0.195534	0.257432	0.968400	-8.890405	-10.444114	665.028912
0.016000	0.271827	0.257433	2.222529	-8.890405	-10.672996	664.710224
0.017000	-0.033348	0.371873	1.590293	-9.119287	-10.520408	663.450876
0.018000	0.119240	0.219285	2.065222	-8.775964	-10.672996	664.388584
0.019000	-0.071495	0.181139	1.914755	-8.775964	-10.596702	663.931231
0.020000	0.004799	0.028551	2.068169	-8.737817	-10.520408	664.871572
0.021000	0.348121	0.066698	1.269697	-8.928552	-10.482261	665.496449
0.022000	0.004799	0.104845	2.536363	-8.775964	-10.672996	664.551075
0.023000	0.042946	0.066698	1.917009	-8.814111	-10.825584	665.655249
0.024000	-0.185936	-0.047743	0.179715	-9.004846	-10.405967	664.713888
0.025000	0.119240	0.181139	1.750562	-8.699670	-10.367820	665.024128
0.026000	0.309974	0.142992	2.215540	-8.661523	-10.558555	664.387282
0.027000	0.157387	0.066698	0.963050	-8.508935	-10.558555	665.651796
0.028000	0.348121	0.028551	1.592159	-8.623376	-10.444114	665.961402
0.029000	0.081093	0.181139	1.748985	-8.508935	-10.405967	666.130268
0.030000	0.119240	0.333726	1.434009	-8.508935	-10.482261	666.596183
0.031000	0.042946	0.333726	1.600410	-8.394494	-10.444114	665.660419
0.032000	0.195534	0.333726	1.911477	-8.165612	-10.444114	665.793237
0.033000	0.119240	0.219285	2.389291	-8.165612	-10.215232	667.049105
0.034000	0.195534	0.104845	0.800992	-8.356347	-10.596702	667.230355
0.035000	-0.071495	0.295580	1.593917	-8.241906	-10.405967	666.424241
0.036000	0.233680	0.371874	2.705875	-7.936730	-10.253379	666.112881
0.037000	0.119240	0.066698	1.596682	-7.974877	-10.215232	667.220571
0.038000	0.081093	0.028551	1.121995	-7.936730	-10.138938	667.053997
0.039000	0.157387	0.219285	1.599613	-7.898583	-10.177085	666.747820
0.040000	0.195534	0.066698	1.283376	-7.936730	-9.719322	666.740670
0.041000	0.195534	0.181139	1.281376	-7.784142	-9.757469	667.054005
